Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:23:59	19:23:59	19:23:59			19:23:59	19:23:59	19:23:59	19:23:59	19:23:59	19:23:59	19:23:59	19:24:03	19:24:03	19:24:03	19:24:03	19:24:03	19:24:03			19:24:05	19:24:05		00:00:00		00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:05
1	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:07	19:24:07	19:24:07	19:24:07	19:24:07	19:24:07			19:24:09	19:24:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
2	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09			19:24:09	19:24:09	19:24:09	19:24:09	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10			19:24:11	19:24:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11			19:24:11	19:24:11	19:24:11	19:24:11	19:24:12	19:24:12	19:24:12	19:24:12	19:24:12	19:24:12			19:24:13	19:24:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13			19:24:13	19:24:13	19:24:13	19:24:13	19:24:15	19:24:15	19:24:15	19:24:15	19:24:15	19:24:15			19:24:15	19:24:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	19:24:15	19:24:15	19:24:15	19:24:15	19:24:16	19:24:16			19:24:16	19:24:16	19:24:16	19:24:16	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17			19:24:17	19:24:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18			19:24:18	19:24:18	19:24:18	19:24:18	19:24:19	19:24:19	19:24:19	19:24:19	19:24:19	19:24:19			19:24:19	19:24:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	19:24:20	19:24:20	19:24:20	19:24:20	19:24:20	19:24:20			19:24:20	19:24:20	19:24:20	19:24:20	19:24:21	19:24:21	19:24:21	19:24:21	19:24:21	19:24:21			19:24:21	19:24:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	19:24:21	19:24:21	19:24:21	19:24:21	19:24:21	19:24:21			19:24:21	19:24:21	19:24:21	19:24:21	19:24:23	19:24:23	19:24:23	19:24:23	19:24:23	19:24:23			19:24:23	19:24:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	19:24:23	19:24:23	19:24:23	19:24:23	19:24:23	19:24:23			19:24:23	19:24:23	19:24:23	19:24:23	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25			19:24:25	19:24:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:25	19:24:26	19:24:26	19:24:26	19:24:26	19:24:26	19:24:26	19:24:26	19:24:27	19:24:27	19:24:27		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
