Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:18:19	19:18:19	19:18:19			19:18:19	19:18:19	19:18:19	19:18:19	19:18:19	19:18:19	19:18:19	19:18:23	19:18:23	19:18:23	19:18:23	19:18:23	19:18:23			19:18:26	19:18:26		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:02	00:00:06
1	19:18:26	19:18:26	19:18:26	19:18:26	19:18:26	19:18:26	19:18:26	19:18:27	19:18:27	19:18:27	19:18:27	19:18:27	19:18:32	19:18:32	19:18:32	19:18:32	19:18:32	19:18:32			19:18:35	19:18:35		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:02	00:00:08
2	19:18:35	19:18:35	19:18:35	19:18:35	19:18:35	19:18:35			19:18:35	19:18:35	19:18:36	19:18:36	19:18:38	19:18:38	19:18:38	19:18:38	19:18:38	19:18:38			19:18:39	19:18:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	19:18:39	19:18:39	19:18:39	19:18:39	19:18:39	19:18:39			19:18:39	19:18:39	19:18:39	19:18:39	19:18:41	19:18:41	19:18:41	19:18:41	19:18:41	19:18:41			19:18:42	19:18:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:02
4	19:18:42	19:18:42	19:18:42	19:18:42	19:18:42	19:18:42			19:18:42	19:18:42	19:18:42	19:18:42	19:18:44	19:18:44	19:18:44	19:18:44	19:18:44	19:18:44			19:18:45	19:18:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
5	19:18:45	19:18:45	19:18:45	19:18:45	19:18:45	19:18:45			19:18:45	19:18:45	19:18:45	19:18:45	19:18:47	19:18:47	19:18:47	19:18:47	19:18:47	19:18:47			19:18:48	19:18:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
6	19:18:48	19:18:48	19:18:48	19:18:48	19:18:48	19:18:48			19:18:48	19:18:48	19:18:48	19:18:48	19:18:50	19:18:50	19:18:50	19:18:50	19:18:50	19:18:50			19:18:51	19:18:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
7	19:18:51	19:18:51	19:18:51	19:18:51	19:18:51	19:18:51			19:18:51	19:18:51	19:18:51	19:18:51	19:18:53	19:18:53	19:18:53	19:18:53	19:18:53	19:18:53			19:18:53	19:18:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
8	19:18:53	19:18:53	19:18:53	19:18:53	19:18:53	19:18:53			19:18:53	19:18:53	19:18:53	19:18:53	19:18:55	19:18:55	19:18:55	19:18:55	19:18:55	19:18:55			19:18:56	19:18:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
9	19:18:56	19:18:56	19:18:56	19:18:56	19:18:56	19:18:56			19:18:56	19:18:56	19:18:56	19:18:56	19:18:58	19:18:58	19:18:58	19:18:58	19:18:58	19:18:58			19:18:59	19:18:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
10	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:18:59	19:19:01	19:19:01	19:19:01	19:19:01	19:19:01	19:19:01	19:19:01	19:19:01	19:19:02	19:19:02		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03
